Date	Treatment	Dye	Dilution	pop	count	Fungalight Green-H	Fungalight Red-H	sample
2023-11-20	100	PI	2000	unstained	8711	67	58	112023_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-20	100	SYTO9	2000	singlet	12907	1045	69	112023_dilutions_Experiment_Plate_100_2000.fcs
2023-11-20	100	SYTO9	2000	PI-positive	1	82	1108	112023_dilutions_Experiment_Plate_100_2000.fcs
2023-11-20	100	SYTO9	2000	Intermediate	268	7769	201	112023_dilutions_Experiment_Plate_100_2000.fcs
2023-11-20	100	SYTO9	2000	unstained	124	73	61.5	112023_dilutions_Experiment_Plate_100_2000.fcs
2023-11-20	100	PI	250	singlet	13989	71	67	112023_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-20	100	PI	250	PI-positive	1444	68	1521	112023_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-20	100	PI	250	Intermediate	1	23080	690	112023_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-20	100	PI	250	unstained	9751	67	61	112023_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-20	100	SYTO9	250	singlet	14370	32180.5	950	112023_dilutions_Experiment_Plate_100_250.fcs
2023-11-20	100	SYTO9	250	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_100_250.fcs
2023-11-20	100	SYTO9	250	Intermediate	14112	32573.5	965	112023_dilutions_Experiment_Plate_100_250.fcs
2023-11-20	100	SYTO9	250	unstained	15	66	48	112023_dilutions_Experiment_Plate_100_250.fcs
2023-11-20	100	PI	500	singlet	11970	72	62	112023_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-20	100	PI	500	PI-positive	461	71	1325	112023_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-20	100	PI	500	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-20	100	PI	500	unstained	9079	67	60	112023_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-20	100	SYTO9	500	singlet	13565	11867	314	112023_dilutions_Experiment_Plate_100_500.fcs
2023-11-20	100	SYTO9	500	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_100_500.fcs
2023-11-20	100	SYTO9	500	Intermediate	11583	13228	348	112023_dilutions_Experiment_Plate_100_500.fcs
2023-11-20	100	SYTO9	500	unstained	24	70.5	60.5	112023_dilutions_Experiment_Plate_100_500.fcs
2023-11-20	1000	PI	1000	singlet	11070	66	842	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-20	1000	PI	1000	PI-positive	11068	66	842	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-20	1000	PI	1000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-20	1000	PI	1000	unstained	0	NA	NA	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-20	1000	SYTO9	1000	singlet	10648	5732	164	112023_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-20	1000	SYTO9	1000	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-20	1000	SYTO9	1000	Intermediate	5615	7843	225	112023_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-20	1000	SYTO9	1000	unstained	0	NA	NA	112023_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-20	1000	PI	2000	singlet	10583	66	1103	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-20	1000	PI	2000	PI-positive	10583	66	1103	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-20	1000	PI	2000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-20	1000	PI	2000	unstained	0	NA	NA	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-20	1000	SYTO9	2000	singlet	10874	1683	76	112023_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-20	1000	SYTO9	2000	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-20	1000	SYTO9	2000	Intermediate	231	4120	172	112023_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-20	1000	SYTO9	2000	unstained	1	78	80	112023_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-20	1000	PI	250	singlet	10596	66	469	112023_dilutions_Experiment_Plate_1000_250_p.fcs
2023-11-20	1000	PI	250	PI-positive	10581	66	469	112023_dilutions_Experiment_Plate_1000_250_p.fcs
2023-11-20	1000	PI	250	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_1000_250_p.fcs
2023-11-20	1000	PI	250	unstained	1	94	70	112023_dilutions_Experiment_Plate_1000_250_p.fcs
2023-11-20	1000	SYTO9	250	singlet	12298	28390.5	850	112023_dilutions_Experiment_Plate_1000_250.fcs
2023-11-20	1000	SYTO9	250	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_1000_250.fcs
2023-11-20	1000	SYTO9	250	Intermediate	12234	28510.5	852	112023_dilutions_Experiment_Plate_1000_250.fcs
2023-11-20	1000	SYTO9	250	unstained	1	92	74	112023_dilutions_Experiment_Plate_1000_250.fcs
2023-11-20	1000	PI	500	singlet	11067	66	600	112023_dilutions_Experiment_Plate_1000_500_p.fcs
2023-11-20	1000	PI	500	PI-positive	11061	66	601	112023_dilutions_Experiment_Plate_1000_500_p.fcs
2023-11-20	1000	PI	500	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_1000_500_p.fcs
2023-11-20	1000	PI	500	unstained	4	69.5	75	112023_dilutions_Experiment_Plate_1000_500_p.fcs
2023-11-20	1000	SYTO9	500	singlet	12693	16127	450	112023_dilutions_Experiment_Plate_1000_500.fcs
2023-11-20	1000	SYTO9	500	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_1000_500.fcs
2023-11-20	1000	SYTO9	500	Intermediate	12041	16757	467	112023_dilutions_Experiment_Plate_1000_500.fcs
2023-11-20	1000	SYTO9	500	unstained	2	61.5	64	112023_dilutions_Experiment_Plate_1000_500.fcs
2023-11-21	0	PI	1000	singlet	13430	71	59	112123_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-21	0	PI	1000	PI-positive	92	67.5	947.5	112123_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-21	0	PI	1000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-21	0	PI	1000	unstained	10991	67	58	112123_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-21	0	SYTO9	1000	singlet	15218	547	64	112123_dilutions_Experiment_Plate_0_1000.fcs
2023-11-21	0	SYTO9	1000	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_0_1000.fcs
2023-11-21	0	SYTO9	1000	Intermediate	88	21990	607.5	112123_dilutions_Experiment_Plate_0_1000.fcs
2023-11-21	0	SYTO9	1000	unstained	470	80	56	112123_dilutions_Experiment_Plate_0_1000.fcs
2023-11-21	0	PI	2000	singlet	13938	72	59	112123_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-21	0	PI	2000	PI-positive	57	70	1016	112123_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-21	0	PI	2000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-21	0	PI	2000	unstained	11366	67	57	112123_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-21	0	SYTO9	2000	singlet	18390	178	60	112123_dilutions_Experiment_Plate_0_2000.fcs
2023-11-21	0	SYTO9	2000	PI-positive	1	222	162	112123_dilutions_Experiment_Plate_0_2000.fcs
2023-11-21	0	SYTO9	2000	Intermediate	90	12888.5	351	112123_dilutions_Experiment_Plate_0_2000.fcs
2023-11-21	0	SYTO9	2000	unstained	3523	78	58	112123_dilutions_Experiment_Plate_0_2000.fcs
2023-11-21	0	PI	250	singlet	12609	72	60	112123_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-21	0	PI	250	PI-positive	74	75	1225.5	112123_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-21	0	PI	250	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-21	0	PI	250	unstained	10150	67	58	112123_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-21	0	SYTO9	250	singlet	12708	8932.5	271	112123_dilutions_Experiment_Plate_0_250.fcs
2023-11-21	0	SYTO9	250	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_0_250.fcs
2023-11-21	0	SYTO9	250	Intermediate	7788	14586.5	426	112123_dilutions_Experiment_Plate_0_250.fcs
2023-11-21	0	SYTO9	250	unstained	26	80	51	112123_dilutions_Experiment_Plate_0_250.fcs
2023-11-21	0	PI	500	singlet	13261	71	60	112123_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-21	0	PI	500	PI-positive	76	65	937	112123_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-21	0	PI	500	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-21	0	PI	500	unstained	10765	67	59	112123_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-21	0	SYTO9	500	singlet	14823	1172	72	112123_dilutions_Experiment_Plate_0_500.fcs
2023-11-21	0	SYTO9	500	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_0_500.fcs
2023-11-21	0	SYTO9	500	Intermediate	427	7400	231	112123_dilutions_Experiment_Plate_0_500.fcs
2023-11-21	0	SYTO9	500	unstained	99	79	60	112123_dilutions_Experiment_Plate_0_500.fcs
2023-11-21	10	PI	1000	singlet	11368	76	59	112123_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-21	10	PI	1000	PI-positive	186	72	896.5	112123_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-21	10	PI	1000	Intermediate	1	13490	345	112123_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-21	10	PI	1000	unstained	8531	69	58	112123_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-21	10	SYTO9	1000	singlet	7739	914	68	112123_dilutions_Experiment_Plate_10_1000.fcs
2023-11-21	10	SYTO9	1000	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_10_1000.fcs
2023-11-21	10	SYTO9	1000	Intermediate	145	11232	339	112123_dilutions_Experiment_Plate_10_1000.fcs
2023-11-21	10	SYTO9	1000	unstained	401	75	57	112123_dilutions_Experiment_Plate_10_1000.fcs
2023-11-21	10	PI	2000	singlet	12222	76	60	112123_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-21	10	PI	2000	PI-positive	261	77	668	112123_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-21	10	PI	2000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-21	10	PI	2000	unstained	9122	69	58	112123_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-21	10	SYTO9	2000	singlet	12692	287	61	112123_dilutions_Experiment_Plate_10_2000.fcs
2023-11-21	10	SYTO9	2000	PI-positive	3	275	224	112123_dilutions_Experiment_Plate_10_2000.fcs
2023-11-21	10	SYTO9	2000	Intermediate	64	8300	220	112123_dilutions_Experiment_Plate_10_2000.fcs
2023-11-21	10	SYTO9	2000	unstained	1522	75	56	112123_dilutions_Experiment_Plate_10_2000.fcs
2023-11-21	10	PI	250	singlet	10617	77	61	112123_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-21	10	PI	250	PI-positive	214	74	763.5	112123_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-21	10	PI	250	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-21	10	PI	250	unstained	7751	70	59	112123_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-21	10	SYTO9	250	singlet	9387	4067	158	112123_dilutions_Experiment_Plate_10_250.fcs
2023-11-21	10	SYTO9	250	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_10_250.fcs
2023-11-21	10	SYTO9	250	Intermediate	4677	7701	246	112123_dilutions_Experiment_Plate_10_250.fcs
2023-11-21	10	SYTO9	250	unstained	60	75	57.5	112123_dilutions_Experiment_Plate_10_250.fcs
2023-11-21	10	PI	500	singlet	9894	77	60	112123_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-21	10	PI	500	PI-positive	151	74	784	112123_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-21	10	PI	500	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-21	10	PI	500	unstained	7339	70	58	112123_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-21	10	SYTO9	500	singlet	9754	1708	83	112123_dilutions_Experiment_Plate_10_500.fcs
2023-11-21	10	SYTO9	500	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_10_500.fcs
2023-11-21	10	SYTO9	500	Intermediate	725	4422	192	112123_dilutions_Experiment_Plate_10_500.fcs
2023-11-21	10	SYTO9	500	unstained	236	77	59	112123_dilutions_Experiment_Plate_10_500.fcs
2023-11-21	100	PI	1000	singlet	13637	69	61	112123_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-21	100	PI	1000	PI-positive	903	67	1157	112123_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-21	100	PI	1000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-21	100	PI	1000	unstained	10579	66	58	112123_dilutions_Experiment_Plate_100_1000_p.fcs
2023-11-21	100	SYTO9	1000	singlet	12193	2861	95	112123_dilutions_Experiment_Plate_100_1000.fcs
2023-11-21	100	SYTO9	1000	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_100_1000.fcs
2023-11-21	100	SYTO9	1000	Intermediate	2431	8243	220	112123_dilutions_Experiment_Plate_100_1000.fcs
2023-11-21	100	SYTO9	1000	unstained	662	72	56	112123_dilutions_Experiment_Plate_100_1000.fcs
2023-11-21	100	PI	2000	singlet	13323	69	61	112123_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-21	100	PI	2000	PI-positive	862	66	1163	112123_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-21	100	PI	2000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-21	100	PI	2000	unstained	10395	66	58	112123_dilutions_Experiment_Plate_100_2000_p.fcs
2023-11-21	100	SYTO9	2000	singlet	14337	763	66	112123_dilutions_Experiment_Plate_100_2000.fcs
2023-11-21	100	SYTO9	2000	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_100_2000.fcs
2023-11-21	100	SYTO9	2000	Intermediate	469	10298	236	112123_dilutions_Experiment_Plate_100_2000.fcs
2023-11-21	100	SYTO9	2000	unstained	1621	70	57	112123_dilutions_Experiment_Plate_100_2000.fcs
2023-11-21	100	PI	250	singlet	10656	69	64	112123_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-21	100	PI	250	PI-positive	960	67	1155.5	112123_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-21	100	PI	250	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-21	100	PI	250	unstained	7939	66	60	112123_dilutions_Experiment_Plate_100_250_p.fcs
2023-11-21	100	SYTO9	250	singlet	13132	24711	726.5	112123_dilutions_Experiment_Plate_100_250.fcs
2023-11-21	100	SYTO9	250	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_100_250.fcs
2023-11-21	100	SYTO9	250	Intermediate	11327	28138	831	112123_dilutions_Experiment_Plate_100_250.fcs
2023-11-21	100	SYTO9	250	unstained	118	69	56	112123_dilutions_Experiment_Plate_100_250.fcs
2023-11-21	100	PI	500	singlet	11667	69	63	112123_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-21	100	PI	500	PI-positive	856	67	1228	112123_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-21	100	PI	500	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-21	100	PI	500	unstained	8964	65	59	112123_dilutions_Experiment_Plate_100_500_p.fcs
2023-11-21	100	SYTO9	500	singlet	11785	10282	281	112123_dilutions_Experiment_Plate_100_500.fcs
2023-11-21	100	SYTO9	500	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_100_500.fcs
2023-11-21	100	SYTO9	500	Intermediate	8678	13412.5	362	112123_dilutions_Experiment_Plate_100_500.fcs
2023-11-21	100	SYTO9	500	unstained	312	73	59	112123_dilutions_Experiment_Plate_100_500.fcs
2023-11-21	1000	PI	1000	singlet	13288	67	838	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-21	1000	PI	1000	PI-positive	13287	67	838	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-21	1000	PI	1000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-21	1000	PI	1000	unstained	0	NA	NA	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
2023-11-21	1000	SYTO9	1000	singlet	13437	5724	167	112123_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-21	1000	SYTO9	1000	PI-positive	2	288.5	512.5	112123_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-21	1000	SYTO9	1000	Intermediate	7304	7506.5	218	112123_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-21	1000	SYTO9	1000	unstained	27	76	54	112123_dilutions_Experiment_Plate_1000_1000.fcs
2023-11-21	1000	PI	2000	singlet	12214	67	1056	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-21	1000	PI	2000	PI-positive	12207	67	1056	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-21	1000	PI	2000	Intermediate	0	NA	NA	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-21	1000	PI	2000	unstained	2	82	61	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
2023-11-21	1000	SYTO9	2000	singlet	14389	2178	83	112123_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-21	1000	SYTO9	2000	PI-positive	0	NA	NA	112123_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-21	1000	SYTO9	2000	Intermediate	535	4746	175	112123_dilutions_Experiment_Plate_1000_2000.fcs
2023-11-21	1000	SYTO9	2000	unstained	1	95	73	112123_dilutions_Experiment_Plate_1000_2000.fcs
